Subject,Drug,Treatment,Trial,Type,TimeNearStimulus,AbsoluteTurnAngle,Speed,Freezing
PC9,pCPA,CTRL,9,0,29.1849995902212,28.7603423568374,1.9279817686234,7
PC9,pCPA,CTRL,10,1,38.8139343856749,30.7156687011338,6.80510493312454,6
PC9,pCPA,CTRL,11,0,21.4003148831287,8.68331606346871,4.50932919330795,7
PC9,pCPA,CTRL,12,1,14.3375626576404,8.17555747080884,6.29559998072498,4
PC9,pCPA,CTRL,13,0,4.45031667461803,32.826584850419,8.40970401073487,8
PC9,pCPA,CTRL,14,1,11.1902398561856,33.3974824565432,5.73869138877338,1
PC9,pCPA,CTRL,15,0,14.1820379227945,10.7213853542243,4.38231134058269,4
PC9,pCPA,CTRL,16,1,16.8327325376712,9.9908634967705,5.33740339398915,9
PC9,pCPA,CTRL,17,0,24.370939291573,33.3641894353113,7.54240348018358,4
PC9,pCPA,CTRL,18,1,17.4236597090384,16.3013279073947,6.83463730532739,8
PC9,pCPA,CTRL,19,0,16.831959984277,24.4455611596848,5.799760100886,7
PC9,pCPA,CTRL,20,1,29.1588906827095,23.4315499440265,1.15734771028167,0
PC10,pCPA,CTRL,1,0,7.97643485909642,13.3050006412786,7.01800638943625,5
PC10,pCPA,CTRL,2,0,15.5155951259174,21.6821175491477,1.54136180526995,5
PC10,pCPA,CTRL,3,0,10.7790280973796,25.3364596804047,6.3380711788736,9
PC10,pCPA,CTRL,4,1,13.3288726923109,10.1380304687595,8.12809927651452,7
PC10,pCPA,CTRL,5,0,5.16772886700782,25.6969038939885,3.24917647177117,1
PC10,pCPA,CTRL,6,1,33.7614499437936,8.82887765834998,2.57883618665582,4
PC10,pCPA,CTRL,7,0,19.4432689482737,15.7594956001357,5.18139990189504,9
PC10,pCPA,CTRL,8,1,26.4892291397482,22.7726235726315,8.91997779429384,3
PC10,pCPA,CTRL,9,0,10.4404199775973,23.4349324010995,8.92541247087055,10
PC10,pCPA,CTRL,10,1,10.3126383031723,24.1716197693318,5.3843578529962,1
PC10,pCPA,CTRL,11,0,8.30202457886522,11.555396603569,1.59288800727333,2
PC10,pCPA,CTRL,12,1,10.4995490472735,8.97717450341961,2.80075968255296,6
PC10,pCPA,CTRL,13,0,26.1485507406757,17.0558334674558,1.65489612068593,8
PC10,pCPA,CTRL,14,1,25.6920217238801,15.8030288405983,2.96987748150034,2
PC10,pCPA,CTRL,15,0,2.48812829707108,31.0655680311652,2.51005957888624,1
PC10,pCPA,CTRL,16,1,20.7271765609668,33.7599836727776,8.11979634555043,1
